kerem@ubuntu:~/middlebox$ sudo docker exec insec ping -c 50 sec
PING sec (10.1.0.21) 56(84) bytes of data.
64 bytes from sec (10.1.0.21): icmp_seq=1 ttl=64 time=11.2 ms
64 bytes from sec (10.1.0.21): icmp_seq=2 ttl=64 time=11.1 ms
64 bytes from sec (10.1.0.21): icmp_seq=3 ttl=64 time=12.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=4 ttl=64 time=13.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=5 ttl=64 time=17.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=6 ttl=64 time=16.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=7 ttl=64 time=6.86 ms
64 bytes from sec (10.1.0.21): icmp_seq=8 ttl=64 time=24.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=9 ttl=64 time=6.52 ms
64 bytes from sec (10.1.0.21): icmp_seq=10 ttl=64 time=12.5 ms
64 bytes from sec (10.1.0.21): icmp_seq=11 ttl=64 time=19.2 ms
64 bytes from sec (10.1.0.21): icmp_seq=12 ttl=64 time=15.4 ms
64 bytes from sec (10.1.0.21): icmp_seq=13 ttl=64 time=7.88 ms
64 bytes from sec (10.1.0.21): icmp_seq=14 ttl=64 time=7.22 ms
64 bytes from sec (10.1.0.21): icmp_seq=15 ttl=64 time=19.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=16 ttl=64 time=10.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=17 ttl=64 time=25.3 ms
64 bytes from sec (10.1.0.21): icmp_seq=18 ttl=64 time=24.1 ms
64 bytes from sec (10.1.0.21): icmp_seq=19 ttl=64 time=11.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=20 ttl=64 time=27.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=21 ttl=64 time=30.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=22 ttl=64 time=22.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=23 ttl=64 time=16.0 ms
64 bytes from sec (10.1.0.21): icmp_seq=24 ttl=64 time=13.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=25 ttl=64 time=8.74 ms
64 bytes from sec (10.1.0.21): icmp_seq=26 ttl=64 time=17.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=27 ttl=64 time=16.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=28 ttl=64 time=15.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=29 ttl=64 time=10.7 ms
64 bytes from sec (10.1.0.21): icmp_seq=30 ttl=64 time=20.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=31 ttl=64 time=6.60 ms
64 bytes from sec (10.1.0.21): icmp_seq=32 ttl=64 time=12.3 ms
64 bytes from sec (10.1.0.21): icmp_seq=33 ttl=64 time=7.60 ms
64 bytes from sec (10.1.0.21): icmp_seq=34 ttl=64 time=13.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=35 ttl=64 time=8.93 ms
64 bytes from sec (10.1.0.21): icmp_seq=36 ttl=64 time=24.0 ms
64 bytes from sec (10.1.0.21): icmp_seq=37 ttl=64 time=13.6 ms
64 bytes from sec (10.1.0.21): icmp_seq=38 ttl=64 time=11.6 ms
64 bytes from sec (10.1.0.21): icmp_seq=39 ttl=64 time=33.3 ms
64 bytes from sec (10.1.0.21): icmp_seq=40 ttl=64 time=11.7 ms
64 bytes from sec (10.1.0.21): icmp_seq=41 ttl=64 time=33.0 ms
64 bytes from sec (10.1.0.21): icmp_seq=42 ttl=64 time=23.7 ms
64 bytes from sec (10.1.0.21): icmp_seq=43 ttl=64 time=24.1 ms
64 bytes from sec (10.1.0.21): icmp_seq=44 ttl=64 time=8.67 ms
64 bytes from sec (10.1.0.21): icmp_seq=45 ttl=64 time=29.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=46 ttl=64 time=12.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=47 ttl=64 time=24.1 ms
64 bytes from sec (10.1.0.21): icmp_seq=48 ttl=64 time=10.7 ms
64 bytes from sec (10.1.0.21): icmp_seq=49 ttl=64 time=15.1 ms
64 bytes from sec (10.1.0.21): icmp_seq=50 ttl=64 time=8.27 ms

--- sec ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49061ms
rtt min/avg/max/mdev = 6.515/16.243/33.283/7.313 ms
